date,product,category,region,sales,quantity,revenue,customer_id
2024-01-15,Laptop Pro,Electronics,North,1299.99,2,2599.98,C001
2024-01-16,Office Chair,Furniture,East,249.99,5,1249.95,C002
2024-01-17,Wireless Mouse,Electronics,West,29.99,15,449.85,C003
2024-01-18,Standing Desk,Furniture,North,599.99,3,1799.97,C004
2024-01-19,Monitor 27in,Electronics,South,399.99,8,3199.92,C005
2024-01-20,Desk Lamp,Furniture,East,49.99,12,599.88,C006
2024-01-21,Keyboard Mechanical,Electronics,North,89.99,10,899.90,C007
2024-01-22,Bookshelf,Furniture,West,199.99,4,799.96,C008
2024-01-23,USB Hub,Electronics,South,19.99,25,499.75,C009
2024-01-24,Ergonomic Chair,Furniture,East,349.99,6,2099.94,C010
2024-01-25,Tablet 10in,Electronics,North,499.99,7,3499.93,C011
2024-01-26,Filing Cabinet,Furniture,West,159.99,3,479.97,C012
2024-01-27,Webcam HD,Electronics,East,79.99,18,1439.82,C013
2024-01-28,Conference Table,Furniture,South,899.99,2,1799.98,C014
2024-01-29,Headphones Pro,Electronics,North,199.99,14,2799.86,C015
2024-01-30,Whiteboard,Furniture,East,129.99,8,1039.92,C016
2024-02-01,Smartphone,Electronics,West,799.99,5,3999.95,C017
2024-02-02,Storage Shelf,Furniture,North,89.99,10,899.90,C018
2024-02-03,Power Bank,Electronics,South,39.99,30,1199.70,C019
2024-02-04,Guest Chair,Furniture,East,79.99,20,1599.80,C020
2024-02-05,Smart Watch,Electronics,North,299.99,9,2699.91,C021
2024-02-06,Desk Organizer,Furniture,West,24.99,35,874.65,C022
2024-02-07,Bluetooth Speaker,Electronics,South,59.99,22,1319.78,C023
2024-02-08,Executive Desk,Furniture,North,1299.99,1,1299.99,C024
2024-02-09,SSD 1TB,Electronics,East,89.99,16,1439.84,C025
2024-02-10,Coat Rack,Furniture,West,49.99,8,399.92,C026
2024-02-11,Router WiFi 6,Electronics,South,149.99,11,1649.89,C027
2024-02-12,Meeting Chair,Furniture,North,199.99,12,2399.88,C028
2024-02-13,Graphics Tablet,Electronics,East,349.99,4,1399.96,C029
2024-02-14,Plant Stand,Furniture,West,34.99,15,524.85,C030
